poi_id	normalized_score	geographic_id	category_id	administrative_region_id
6840239	0.726146	28091731	15	2974
592391	0.831667	25317894	4	2422
2693505	0.218176	28054758	8	2806
154801	0.447102	24762568	17	1816
2118483	0.344205	2275896	18	1802
5995392	0.517513	44746658	1	1826
659215	0.713801	47124031	8	1370
5864572	0.700237	17534384	0	547
6507939	0.781861	7021523	0	3111
6224661	0.754929	51835715	0	947
6237979	0.76252	11539777	4	2914
5778485	0.803128	8063757	3	1881
5780265	0.760486	6029699	11	1915
5832536	0.71923	12974119	4	174
3007827	0.358406	33201780	20	432
3071791	0.435607	26585264	6	3161
73646	0.749163	44220297	4	1589
1397279	0.350588	31144692	17	1752
1440679	0.71014	36871251	8	297
2278596	0.819298	51816039	8	1551
5921163	0.826094	2807044	11	359
1493532	0.744979	52068437	8	3263
1499232	0.329906	24383980	13	1416
5080232	0.715519	22796486	0	3257
5082877	0.34497	24906450	4	1497
2537903	0.471432	46024997	14	458
3157084	0.544954	23973529	8	1816
4857667	0.530018	49305588	1	353
2503496	0.516755	22508873	4	3257
2429506	0.819429	5242183	8	2914
4546329	0.658759	51193717	0	2072
4567170	0.702037	21620129	14	836
2057919	0.953248	12040607	4	2582
5587016	0.387014	6113592	14	1643
2862746	0.840228	23838766	15	3001
359103	0.744054	45651231	1	2914
5412900	0.898012	6019624	4	3263
5457465	0.53515	36767649	7	1300
4424472	0.772604	26654585	16	1551
5825595	0.856933	51433470	4	2582
4991849	0.849504	16376865	15	3238
4357547	0.589051	39540184	10	3187
855248	0.828243	44034884	1	359
846034	0.646224	17903944	10	24
3808031	0.914102	31825270	1	359
3673230	0.571197	15064702	15	2848
3722311	0.838573	52109795	4	1881
412022	0.760388	14957858	4	1127
453068	0.705904	40136852	20	1826
461891	0.163615	28548409	16	1370
5341825	0.350558	36404985	16	1788
2357075	0.412372	40995779	17	1169
2363070	0.316343	19367944	13	1519
901486	0.326426	2928150	16	1497
2838424	0.638188	50489477	16	2974
6083798	0.849365	42826936	15	1223
7065462	0.69102	51816039	8	1551
2739948	0.83088	42664433	4	1127
2750824	0.71484	4641532	4	2422
3366495	0.299013	45245020	13	2708
2429770	0.67625	23067564	16	580
2602646	0.723518	13755845	8	835
2603727	0.52949	23700032	8	2430
1875180	0.849549	40507241	15	2649
6872864	0.722193	51787943	16	359
3409169	0.789731	51830444	4	42
7265150	0.592953	25600349	17	1519
7010062	0.979354	16869113	0	1529
3325341	0.759044	50170153	8	835
141462	0.809998	37859114	4	1709
178059	0.826159	36716544	4	245
2882552	0.398481	49314085	0	1168
3474325	0.736192	16371296	14	745
3478191	0.428444	26710513	17	1551
6097361	0.844984	8808218	4	2319
931986	0.374555	34512063	15	3142
519022	0.699576	44333078	8	359
5716239	0.598347	19486233	8	818
5848126	0.440288	42160747	17	174
5200293	0.501579	49380114	16	2806
5129845	0.878701	11839166	1	359
1072211	0.836485	3846464	0	997
1102745	0.723992	4457910	16	526
1115292	0.480831	32311722	10	898
1146051	0.676403	24770732	8	258
1318165	0.589525	4802566	1	2582
5231929	0.478937	36437472	6	2180
3285403	0.142031	30167853	18	372
4927274	0.741752	18230861	4	1826
4258143	0.562173	16361230	17	1826
6762443	0.287816	52511101	16	3257
3931830	0.842283	4583454	1	2195
4012670	0.849845	46590945	15	702
3647318	0.48647	34807415	17	1881
4394384	0.308458	46484413	17	1915
6568305	0.506461	21343775	16	1370
6596108	0.607865	38001402	8	297
944425	0.359987	3288167	3	1752
4560273	0.262461	43967267	17	955
333890	0.615169	50075564	4	432
5561136	0.660478	27014362	8	2428
1297483	0.872366	38948860	6	1551
1300898	0.848548	13410714	0	1696
1604371	0.522971	11046204	17	921
3275442	0.659105	2544860	18	1127
6140717	0.493187	4653689	4	2422
6153762	0.831428	50989001	1	540
6156851	0.743548	40202087	8	3161
3487412	0.137797	18794711	3	2339
3528005	0.742651	11176417	4	2244
693763	0.741465	48574564	8	359
1018390	0.690289	11280229	3	2199
3078023	0.856925	17029030	1	3161
4329868	0.370449	18494164	20	2883
6788227	0.816204	45693531	1	359
7121360	0.700009	14501386	11	2089
2066321	0.433744	39401598	8	2460
2075049	0.250484	48261458	11	759
1877858	0.822318	31214931	0	1121
6710765	0.219861	28204544	16	720
1057294	0.395733	32975370	8	818
2723733	0.99558	1723214	4	328
652992	0.749628	432050	1	3123
76701	0.671584	25456484	15	3246
42050	0.815124	16957764	4	3263
6865430	0.826051	1149385	1	203
4722760	0.755996	15704089	8	1519
220747	0.41408	13167572	16	1826
5335799	0.64927	15673003	10	24
370905	0.823476	15425805	4	1562
1165427	0.567232	51792453	16	1762
4944535	0.760421	20966527	18	1826
6729135	0.530802	4339288	13	898
5655789	0.588043	45850980	0	2348
304130	0.737301	34333509	15	1240
3413533	0.679607	40264006	4	60
1486533	0.81674	28010116	14	1127
414426	0.686896	25720076	0	540
5268464	0.369744	27836019	15	1240
5683530	0.320004	38815187	3	2199
4808043	0.727417	13130221	4	3257
6046709	0.84955	84761	15	634
3555665	0.580216	6227155	17	3161
1135066	0.777964	35563202	11	2582
5383588	0.581431	2608370	0	1127
4684852	0.406621	7079390	18	2254
5485783	0.321457	8462883	11	2590
1884244	0.541608	11894353	4	3257
1691150	0.848483	27442326	4	818
4518127	0.845989	7205213	4	1881
5154790	0.825966	24917629	4	1554
5837841	0.794218	5120746	0	1519
2124337	0.511801	8063757	17	1881
5182501	0.23654	26167187	8	353
5240678	0.683189	23142432	10	1241
6547132	0.770791	25586055	8	3111
6600902	0.762861	33217612	16	1950
3932225	0.729281	3289865	4	3257
3948017	0.648248	10595483	18	580
6507930	0.242242	49027645	13	898
5772831	0.439808	4229865	3	3123
2757994	0.842718	38149309	4	921
3099915	0.752077	19180565	11	353
4275908	0.368824	25208102	4	432
5682521	0.314407	4229865	7	3123
7285321	0.756771	2604398	16	257
3609284	0.835023	8361512	1	2590
5969118	0.717076	16502349	14	1121
6007499	0.598485	5606961	3	1826
6542162	0.928944	9836184	0	1950
6595684	0.419994	24082071	17	3111
1614496	0.396406	51160532	17	353
7211738	0.335848	19045112	15	1466
3609301	0.522294	51787943	17	359
1394748	0.617641	35618330	16	357
5906600	0.691701	11021199	8	3111
5927918	0.806213	29328557	11	2089
4122437	0.349335	2551039	3	720
4853538	0.863204	45404884	4	1127
5275482	0.737904	36093309	4	2803
1491622	0.534789	9669545	10	1826
4674489	0.811242	33238700	4	1950
749670	0.617424	13723332	1	1551
2097515	0.596045	20373749	14	1881
115699	0.522479	49805228	16	2170
3200319	0.216286	7746224	17	836
3036689	0.841898	849186	0	1802
3039111	0.501452	38180006	15	1816
3090003	0.654249	712967	3	1370
4220270	0.631442	13842339	6	1709
254339	0.435483	34421099	16	353
5322298	0.676502	26211244	14	818
5326130	0.652613	19505338	10	3263
27811	0.762402	36425504	15	1802
5472819	0.68941	41068055	8	836
4304291	0.409481	45524128	17	2914
6674455	0.76811	21432275	11	3263
2977071	0.99556	4240049	4	3263
4953611	0.49031	50914496	15	1551
5118441	0.74094	32920032	0	547
6057710	0.436469	43101281	1	1392
6071514	0.365341	23764069	17	2707
6074926	0.253088	52356501	20	2999
2509417	0.423236	4229865	17	3123
268832	0.833565	306704	11	203
195106	0.669277	37203695	17	357
6303950	0.712748	25316499	8	1370
6304660	0.648869	21856628	8	3161
1180188	0.714446	18074985	4	1915
6257176	0.212123	29349576	17	1752
6930039	0.283984	45651231	17	2914
2026922	0.746149	49328331	8	2483
2043519	0.678184	13768962	16	359
2482344	0.274711	13377637	17	1826
7060662	0.763416	32542622	16	357
7019107	0.842146	44815162	4	1416
5537629	0.815828	40506232	8	433
573576	0.55894	11050923	1	357
7093479	0.783498	52648698	4	2365
2700607	0.707578	16873965	17	1378
2730393	0.796917	49305588	15	353
7079559	0.770581	6774758	4	2974
5191399	0.622914	5627060	16	203
5225675	0.631413	47420547	17	1826
1926377	0.36851	38538879	14	1966
574225	0.441502	35472890	18	805
1223017	0.793432	16140507	1	297
1242702	0.320297	37101276	11	1752
4701866	0.428577	41443819	16	1950
88349	0.479628	21730608	3	540
6261648	0.830866	20236941	0	1802
6035030	0.864018	42419263	1	836
697759	0.428355	50630259	16	1788
707600	0.765049	13036263	8	1752
6748802	0.692115	9669545	8	1826
1756003	0.858158	51660446	0	328
7162579	0.892102	707070	6	1370
4575589	0.637465	38715242	8	898
120877	0.995058	3436427	4	359
3119848	0.743094	1317084	8	1378
