user_id	profile_feature_1	profile_feature_2	profile_feature_3	profile_feature_4	profile_feature_5	profile_feature_6
0	0	0	6		6	
1	3	1	7			
2	3	0	5			
3	2	0	3			
4	1	1	1			0
5	2	0	4	17		
6	1	1	1	7		
7	1	1	1	7		
8	3	0	0			
9	3	0	7			
10	3	0	6			
11	0	1	6		3	0
12	1	0	3			
13	2	0	4			
14	0	0	2		5	
15	2	0	4	16		
16	0	0	4	17	4	
17	0	0	7	6	2	0
18	3	0	8			
19	1	0	1	7		
20	0	0	4		9	0
21	1	1	1	7		
22		0	7			
23	0	0	3	13	4	
24	0	1	6		3	
25	2	0	3			
26	0	1	4	1		
27	2	0	3	6		
28	0	1	4		5	
29	3	1	6			
30	0	0	5		9	
31		1	5			
32	2	1	2	6		
33	3	0	8			
34	1	0	2			
35	0	0	5		2	0
36	0	0	3		9	
37	0	1	4		2	
38	1	0	3	0		
39	0	1	6		3	
40	1	0	1	7		
41	1	0	3			0
42	3	1	5	16		
43	2	0	3	13		
44	2	0	2			
45	3	0	0			
46	0	1	4	9	9	0
47		1	5			
48	1	0	2			
49	2	0	2		4	
50	1	0	1			
51	0	1	4	17	8	
52	3	0	8			
53	2	1	5			
54	2	1	3	17		
55		0	6			
56	1	0	4			
57	1	0	1			
58	2	0	2	4		
59	2	0	1			
60	1	1	2	17		
61	1	0	1		3	
62	3	0	8			
63	0	0	7		3	
64	2	1	3			
65	0	1	6		3	
66	2	0	4			
67	2	1	1	7		
68	0	1	3		4	
69	0	0	3		4	
70	1	0	2			
71	1	1	1	7		
72	2	1	1	7		
73	3	0	2	4		
74	3	0	7			
75		0	1			
76	1	0	1	7		
77						
78	1	1	2	13		0
79	2	0	4	16		
80	3	0	5	5		
81	2	0	2	0		
82	1	0	2	4		
83						
84	3	1	6			
85	0	0	6	2	3	
86	3	1	5			
87	1	1				
88	1	0	4			
89	3	1	7			
90	0	1	5			
91	3	1	7			
92	3	1	8			
93	0	0	7		3	
94		1	1	7		
95	2	0	4			
96	1	1	1			
97	2	1	1			
98	1	1	1	4		
99	1	1	2			
